Question ID,Question,Option 1,Option 2,Option 3,Option 4,Correct Answer Index,Issues Found
api-modularization-8,What is the Repository Pattern in API architecture?,A Git repository pattern,An abstraction layer between business logic and data access,A place to store code pattern and extensions,A backup system pattern,2,"LENGTH: Correct answer is 1.9x longer than distractors | FORMAT: Distractors all start with 'A', correct doesn't"
api-modularization-9,What is Dependency Injection in API architecture?,Installing npm packages,Passing dependencies as parameters rather than creating them internally,SQL (Structured Query Language) injection attacks,Adding more dependencies,2,LENGTH: Correct answer is 2.2x longer than distractors
api-testing-documentation-2,What are the key types of API testing?,A database replication service with integrated features,"Unit, Integration, Contract, Load, Security, and End-to-End testing",Just clicking buttons,primarily automated testing,2,LENGTH: Correct answer is 2.0x longer than distractors | FORMAT: Only correct answer contains punctuation
api-testing-documentation-4,What is Postman used for?,5672,"API development, testing, documentation, and collaboration",A session management protocol and related standards,A data compression protocol and related standards,2,LENGTH: Correct answer is 1.7x longer than distractors | FORMAT: Only correct answer contains punctuation; Only correct answer contains technical notation
authentication-authorization-2,What is OAuth 2.0 primarily used for?,A cache poisoning technique and extensions,Delegated authorization - granting third-party access without sharing credentials,Database authentication,A digital signature scheme and extensions,2,LENGTH: Correct answer is 2.3x longer than distractors
authentication-authorization-3,What is CORS and why is it important?,5672,A Cross-Origin Resource Sharing - browser security feature controlling resource access,A programming language,An API (Application Programming Interface) framework,2,LENGTH: Correct answer is 3.3x longer than distractors
authentication-authorization-5,What is RBAC in API security?,Really Bad Access Control,Role-Based Access Control - permissions based on user roles,A CSS preprocessor,Resource Based API (Application Programming Interface) Control,2,LENGTH: Correct answer is 1.7x longer than distractors
aws-advanced-drills-0,SQS vs SNS vs EventBridge?,Queue vs Pub/Sub vs Event Bus with rules,A load balancing service,A database management platform and extensions,A load balancing service,1,"FORMAT: Distractors all start with 'A', correct doesn't"
aws-advanced-drills-1,Cross-region replication use case?,Disaster recovery and global content delivery,A source control service,Better performance in same region,Required for most production,1,LENGTH: Correct answer is 1.6x longer than distractors | SEMANTIC: Correct answer appears more comprehensive/complete
aws-advanced-drills-3,ECS vs EKS vs Fargate?,AWS containers vs Kubernetes vs Serverless containers,Using CDN for static assets,A database management platform,Fargate replaces both,1,LENGTH: Correct answer is 2.0x longer than distractors
aws-advanced-drills-4,Aurora vs RDS MySQL?,"Aurora: 5x performance, auto-scaling storage, 15 replicas",A transaction log format,A database migration tool,Aurora is just rebranded RDS,1,LENGTH: Correct answer is 2.2x longer than distractors | FORMAT: Only correct answer contains punctuation
aws-advanced-drills-5,Step Functions vs SWF vs SQS?,Serverless orchestration vs Legacy workflow vs Queue,most do orchestration,Optimizing database queries,A virtual machine service,1,LENGTH: Correct answer is 2.1x longer than distractors
aws-advanced-drills-6,Kinesis Data Streams vs Firehose vs Analytics?,Real-time streams vs Delivery service vs SQL on streams,most process streams same way,Firehose replaces Streams,Analytics includes others,1,LENGTH: Correct answer is 2.1x longer than distractors | FORMAT: Only correct answer contains technical notation
aws-core-drills-1,EC2 instance stopped vs terminated?,"Stopped: EBS persists, no compute charges. Terminated: everything deleted",A virtual machine service,Stopped deletes data,Terminated keeps EBS,1,LENGTH: Correct answer is 3.4x longer than distractors | FORMAT: Only correct answer contains punctuation
aws-core-drills-2,RDS Multi-AZ vs Read Replica?,Multi-AZ: sync replication for HA. Read Replica: async for scaling reads,Adding more CPU cores,Both for high availability,Optimizing database queries,1,LENGTH: Correct answer is 2.9x longer than distractors | FORMAT: Only correct answer contains punctuation
aws-core-drills-3,Lambda cold start mitigation?,Provisioned concurrency,A content delivery network and extensions,Optimizing database queries,All can help,4,LENGTH: Correct answer is 0.4x shorter than distractors
aws-core-drills-5,CloudWatch vs CloudTrail vs Config?,Metrics/Logs vs API Audit vs Resource Compliance,Using CDN for static assets,Implementing caching layers,Implementing caching layers,1,LENGTH: Correct answer is 1.8x longer than distractors
aws-core-drills-7,S3 bucket public access - most secure approach?,"Block all public access, use CloudFront with OAI/OAC",Make bucket public approach,Use bucket policy primarily,IAM policies primarily approach and extensions,1,LENGTH: Correct answer is 1.6x longer than distractors | FORMAT: Only correct answer contains punctuation
azure-fundamentals-drills-0,Azure Resource Manager (ARM) vs Classic deployment?,"ARM: Resource groups, RBAC, tags. Classic: deprecated",Classic is newer,A CI/CD pipeline tool,A content delivery network,1,LENGTH: Correct answer is 2.5x longer than distractors | FORMAT: Only correct answer contains punctuation
azure-fundamentals-drills-1,Azure Storage account types?,Standard (HDD) vs Premium (SSD),"StorageV2 includes Blob, File, Queue, Table",BlobStorage for blob-primarily workloads,All of the above,4,LENGTH: Correct answer is 0.4x shorter than distractors
azure-fundamentals-drills-2,Azure App Service vs Functions vs Container Instances?,Web apps vs Serverless functions vs Quick containers,most serverless service,most require containers service,Functions replace App Service,1,LENGTH: Correct answer is 1.9x longer than distractors
azure-fundamentals-drills-3,Azure availability zones vs sets?,"Zones: physical separation, Sets: logical grouping in datacenter",A monitoring and logging service,A database management platform,Zones are deprecated,1,LENGTH: Correct answer is 2.3x longer than distractors | FORMAT: Only correct answer contains punctuation
azure-fundamentals-drills-4,Azure Cosmos DB consistency levels?,"Strong, Bounded Staleness, Session, Consistent Prefix, Eventual",primarily strong and eventual,Same as SQL (Structured Query Language),No consistency options,1,LENGTH: Correct answer is 2.1x longer than distractors | FORMAT: Only correct answer contains punctuation
azure-fundamentals-drills-5,Azure Service Bus vs Event Hub vs Event Grid?,Enterprise messaging vs Big data streaming vs Event routing,most do messaging service,Event Hub replaces Service Bus,"Event Grid is newest, replaces others",1,LENGTH: Correct answer is 1.9x longer than distractors
azure-fundamentals-drills-6,Azure AD vs AD Domain Services?,Cloud identity service vs Managed domain controllers,Same service service,AD DS replaces Azure AD,Both on-premises primarily service,1,LENGTH: Correct answer is 2.0x longer than distractors
backend-api-design-0,What is the benefit of OpenAPI (Swagger) specification?,Faster API response times,"Auto-generated documentation, client SDKs, and contract testing","TCP is faster for streaming, UDP for file transfer",Reduced server costs and extensions,2,LENGTH: Correct answer is 1.7x longer than distractors
backend-api-design-1,What is a contract test in API development?,Testing legal agreements,Validating API responses match the documented schema,Load testing,An email server protocol,3,LENGTH: Correct answer is 0.4x shorter than distractors
backend-api-design-2,How should APIs handle backward compatibility?,Break changes whenever needed,Never change anything,"Version endpoints, add fields, deprecate gracefully",Maintain separate codebases,2,LENGTH: Correct answer is 0.6x shorter than distractors
backend-async-processing-0,When should you offload work to a background job queue?,For most database queries,For CPU-intensive or I/O heavy tasks don't need immediate response,primarily for scheduled tasks,rarely - process everything synchronously,2,LENGTH: Correct answer is 2.1x longer than distractors | FORMAT: Only correct answer contains technical notation
backend-async-processing-1,What is a Dead Letter Queue (DLQ)?,A queue for deleted messages,A queue for messages failed processing after max retries,A backup queue,A high-priority queue,3,LENGTH: Correct answer is 0.4x shorter than distractors
backend-async-processing-2,How should background workers handle job failures?,A database replication service,Stop the worker process,"Retry with exponential backoff, then DLQ after max attempts",Email admin immediately,2,LENGTH: Correct answer is 0.6x shorter than distractors
backend-auth-security-0,What is the primary purpose of using separate access and refresh tokens in JWT authentication?,To reduce database load,To allow short-lived access tokens with long-lived refresh tokens for security,To enable multi-factor authentication and extensions,To compress authentication data and extensions,2,LENGTH: Correct answer is 1.9x longer than distractors
backend-auth-security-2,How should an API handle token refresh when the access token expires?,Automatically refresh in most request,Return 401 and let client use refresh token to get new access token,Extend the current token expiry time,Force user to login again,2,LENGTH: Correct answer is 2.1x longer than distractors
backend-caching-0,What is the cache-aside (lazy loading) pattern?,Cache is updated before database,"Check cache first; on miss, fetch from DB and populate cache",Cache and database are updated simultaneously,Cache is rarely invalidated pattern,2,"LENGTH: Correct answer is 1.6x longer than distractors | FORMAT: Only correct answer contains punctuation; Only correct answer contains technical notation; Distractors all start with 'Cache', correct doesn't"
backend-data-patterns-0,What is the N+1 query problem?,Querying N databases plus 1 cache,"Fetching a list, then making separate query for each item's related data",Having N replicas plus 1 master,Needing N indexes plus primary key,2,LENGTH: Correct answer is 2.2x longer than distractors | FORMAT: Only correct answer contains punctuation
backend-data-patterns-1,What is keyset pagination and when should you use it?,Using page numbers like ?page=2,"Using a cursor based on unique, ordered columns to fetch next set",Loading all data and paginating in memory,Using LIMIT without OFFSET,3,"FORMAT: Distractors all start with 'Using', correct doesn't"
backend-data-patterns-2,What is the outbox pattern for transactional event publishing?,Sending emails from the API (Application Programming Interface) directly,Publishing events before database commit,"Storing events in DB table within same transaction, separate process publishes them",Using message queue transactions pattern,2,LENGTH: Correct answer is 0.6x shorter than distractors
backend-data-patterns-4,What isolation level prevents dirty reads but allows non-repeatable reads?,9000,Read Committed,22,A protocol for email transmission,2,OBVIOUS: 2 distractors seem unrelated to question
backend-deployment-0,What is a health check endpoint and what should it verify?,A file transfer protocol,"Check critical dependencies: DB connection, Redis, required services",A binary protocol for data transfer,Check disk space primarily,2,LENGTH: Correct answer is 2.4x longer than distractors | FORMAT: Only correct answer contains punctuation; Only correct answer contains technical notation
backend-deployment-1,What is the purpose of database migrations in production?,Moving to a different database,"Version-controlled, incremental schema changes",Backing up data,A schema design pattern,3,LENGTH: Correct answer is 0.5x shorter than distractors
backend-deployment-2,How should environment configuration be managed?,Hardcode in source files,"Environment variables via .env files, never commit secrets",143,Use different code branches,2,LENGTH: Correct answer is 3.2x longer than distractors | FORMAT: Only correct answer contains punctuation
backend-deployment-3,What should a runbook include for production APIs?,A database management system,"Setup, common issues, monitoring queries, rollback procedures, contacts",primarily deployment commands,636,2,LENGTH: Correct answer is 3.5x longer than distractors | FORMAT: Only correct answer contains punctuation
backend-observability-1,What is the purpose of correlation IDs (request IDs) in distributed systems?,To encrypt requests system,To trace a request across services and logs,To cache responses,To authenticate users system,3,LENGTH: Correct answer is 0.6x shorter than distractors
backend-observability-2,What should structured logs include for API requests?,A network monitoring tool,"Request ID, method, path, status, duration, user ID, error details",143,primarily successful requests,2,LENGTH: Correct answer is 3.5x longer than distractors | FORMAT: Only correct answer contains punctuation; Only correct answer contains technical notation
backend-observability-3,What percentiles should you monitor for API latency?,A peer-to-peer file sharing protocol,6379,Only maximum,A security encryption protocol,3,LENGTH: Correct answer is 0.5x shorter than distractors
backend-observability-4,What is distributed tracing used for?,Tracking user locations,Visualizing request flow and timing across services,Debugging JavaScript errors,Monitoring disk usage,2,LENGTH: Correct answer is 2.2x longer than distractors | SEMANTIC: Correct answer appears more comprehensive/complete
backend-rate-limiting-0,Which algorithm is most commonly used for API rate limiting?,A peer-to-peer file sharing protocol,Token bucket,First-come-first-served,A database query protocol,2,LENGTH: Correct answer is 0.4x shorter than distractors
backend-rate-limiting-1,What should an API return when rate limit is exceeded?,500 Internal Server Error,429 Too Many Requests with Retry-After header,403 Forbidden,503 Service Unavailable,3,LENGTH: Correct answer is 0.4x shorter than distractors
backend-rate-limiting-2,Where should rate limit state be stored for a distributed API?,In-memory on each server,In a shared store like Redis,In the main database,8443,2,LENGTH: Correct answer is 1.8x longer than distractors
backend-resilience-1,How should a circuit breaker handle a failing downstream service?,Keep retrying indefinitely service with integrated features,"Open circuit after threshold failures, return fast failures, periodically test with half-open state",typically return cached data service,Redirect to another service service with integrated features,2,LENGTH: Correct answer is 1.9x longer than distractors | FORMAT: Only correct answer contains punctuation
backend-scaling-0,"What makes an API ""stateless"" for horizontal scaling?",No database connections,"No server-side session state; auth via tokens, session in Redis/DB",Using CDN for static assets,No external dependencies,2,LENGTH: Correct answer is 2.7x longer than distractors | FORMAT: Only correct answer contains punctuation
backend-scaling-1,What is connection pooling and why is it important?,Sharing WiFi connections,Reusing database connections instead of creating new ones per request,Load balancing,8000,3,LENGTH: Correct answer is 0.4x shorter than distractors
backend-scaling-2,When should you consider database read replicas?,rarely - they're too complex,When read traffic significantly exceeds write traffic,primarily for backup purposes,When you have exactly 2 servers,2,LENGTH: Correct answer is 1.8x longer than distractors
backend-scaling-3,What is database sharding?,Backing up the database,Partitioning data across databases based on a shard key,Encrypting database,A table partition,2,LENGTH: Correct answer is 2.8x longer than distractors
backend-scaling-4,What is backpressure in system design?,Database backup pressure,Mechanism to slow down producers when consumers can't keep up,Network latency,CPU (Central Processing Unit) pressure,3,LENGTH: Correct answer is 0.4x shorter than distractors
backend-testing-0,What should integration tests for APIs focus on?,An email server protocol,"HTTP contract, auth, validation, error cases, side effects",A network routing protocol,A file transfer protocol,2,LENGTH: Correct answer is 2.4x longer than distractors | FORMAT: Only correct answer contains punctuation; Only correct answer contains technical notation
checklist-drills-0,Canary deployment checklist - correct order?,Deploy v2 → Create subsets → Configure VirtualService → Gradual weight shift → Monitor → Full cutover,Delete v1 → Deploy v2,Change DNS (Domain Name System) → Deploy,A container orchestration platform,1,LENGTH: Correct answer is 3.2x longer than distractors
checklist-drills-1,ESO + Vault setup checklist?,A database management system,1) Install ESO 2) Configure Vault auth 3) Create SecretStore 4) Create ExternalSecret 5) Verify Secret 6) Mount in pod,Just install Vault,Copy secrets manually,2,LENGTH: Correct answer is 5.3x longer than distractors | FORMAT: Only correct answer contains technical notation | SEMANTIC: Multiple distractors use absolute terms (often wrong)
checklist-drills-2,Feature flag implementation checklist?,1) Choose system 2) Deploy server 3) Create flags 4) Add SDK 5) Implement checks 6) Add fallbacks 7) Monitor,Just add if statements,5432 and extensions,8000,1,LENGTH: Correct answer is 7.2x longer than distractors | FORMAT: Only correct answer contains technical notation | OBVIOUS: 2 distractors seem unrelated to question
checklist-drills-3,Production readiness for runtime control?,Code complete = ready,□ Secrets rotatable □ Canary capable □ Feature flags □ Config reloadable □ Rollback tested □ Monitoring active,A real-time streaming protocol,A security encryption protocol,2,LENGTH: Correct answer is 4.1x longer than distractors
checklist-drills-4,Incident response for bad deployment?,A testing framework,1) Stop traffic to bad version 2) Assess impact 3) Rollback or hotfix 4) Verify fix 5) Gradual re-enable 6) Postmortem,An infrastructure provisioning system,A code review platform,2,LENGTH: Correct answer is 4.5x longer than distractors
cicd-devops-0,What is the difference between continuous integration and continuous deployment?,They are the same thing and extensions,"CI merges code frequently, CD automatically deploys to production","CI is for testing, CD is for building and extensions","CI is automated, CD is manual",2,LENGTH: Correct answer is 1.6x longer than distractors
cicd-devops-1,What is a blue-green deployment?,Deploying with color-coded environments,Running two identical production environments and switching between them,A deployment that uses environmental variables,A type of canary deployment,2,LENGTH: Correct answer is 1.9x longer than distractors
cicd-devops-2,What is the purpose of a Git hook?,A code review platform and extensions,Scripts run automatically at points in Git workflow,To connect Git repositories,A documentation generator,2,LENGTH: Correct answer is 1.7x longer than distractors
cicd-devops-3,What is Infrastructure as Code (IaC)?,Writing code for infrastructure components,Managing infrastructure through machine-readable definition files,Converting infrastructure to code,Coding on infrastructure,2,LENGTH: Correct answer is 2.0x longer than distractors
cicd-devops-4,What is the purpose of a canary deployment?,To deploy to the Canary Islands,Gradually rolling out changes to a small subset of users first,Emergency deployments,Deploying yellow-colored interfaces,2,LENGTH: Correct answer is 2.1x longer than distractors
cicd-devops-5,What is GitOps?,A testing framework and extensions,Using Git as the single source of truth for infrastructure and applications,A testing framework,Optimizing Git performance,2,LENGTH: Correct answer is 2.8x longer than distractors
cicd-devops-6,What is the purpose of a CI/CD pipeline?,To transport code between servers,To automate the software delivery process from code to production,A network routing protocol,995,2,LENGTH: Correct answer is 3.1x longer than distractors
cicd-devops-7,What is chaos engineering?,Writing chaotic code and extensions,Intentionally injecting failures to test system resilience,A code review platform,Unorganized development,2,LENGTH: Correct answer is 2.2x longer than distractors
cicd-devops-8,What is a feature flag?,A flag icon for features and extensions,A toggle to enable/disable features without deploying new code,An infrastructure provisioning system,A CI/CD pipeline,2,LENGTH: Correct answer is 2.0x longer than distractors
cicd-devops-9,What is the purpose of semantic versioning?,To make versions meaningful and extensions,"Major.Minor.Patch format indicating breaking changes, features, and fixes",To version databases,To track word meanings,2,"LENGTH: Correct answer is 2.6x longer than distractors | FORMAT: Only correct answer contains punctuation; Distractors all start with 'To', correct doesn't"
cloud-computing-0,"What is the difference between IaaS, PaaS, and SaaS?",They are different programming languages,"IaaS provides infrastructure, PaaS provides platform, SaaS provides software",They are different cloud providers,They are different types of databases,2,"LENGTH: Correct answer is 2.1x longer than distractors | FORMAT: Only correct answer contains punctuation; Distractors all start with 'They', correct doesn't"
cloud-computing-1,What is AWS Lambda?,A CI/CD pipeline tool,A serverless compute service runs code in response to events,A database management platform,A CDN (Content Delivery Network) service,2,LENGTH: Correct answer is 2.0x longer than distractors
cloud-computing-10,What is Google Cloud Pub/Sub?,A subscription management service,A messaging service for event-driven systems,A publication platform,A submarine communication system,2,LENGTH: Correct answer is 1.5x longer than distractors
cloud-computing-11,"What is the difference between hot, cool, and archive storage tiers?",Temperature of data centers,"Access frequency and cost: hot for frequent, archive for rare access",Geographic locations,A CI/CD pipeline tool and associated utilities,2,LENGTH: Correct answer is 2.2x longer than distractors | FORMAT: Only correct answer contains punctuation
cloud-computing-13,What is AWS CloudFormation?,A weather prediction service,An Infrastructure as Code service for provisioning AWS resources,A cloud storage service,A monitoring service,2,"LENGTH: Correct answer is 2.7x longer than distractors | FORMAT: Only correct answer contains technical notation; Distractors all start with 'A', correct doesn't"
cloud-computing-14,What is the shared responsibility model in cloud computing?,Sharing costs between customers,"Cloud provider manages infrastructure, customer manages data and applications",most responsibility on the provider,most responsibility on the customer,2,LENGTH: Correct answer is 2.3x longer than distractors | FORMAT: Only correct answer contains punctuation | SEMANTIC: Correct answer appears more comprehensive/complete
cloud-computing-2,What is the purpose of an AWS VPC?,Virtual Private Computer,Virtual Private Cloud - an isolated network in AWS,Very Powerful Computing,Virtual Public Container,2,LENGTH: Correct answer is 2.1x longer than distractors | FORMAT: Only correct answer contains technical notation
cloud-computing-3,What is the difference between vertical and horizontal scaling?,Increasing network bandwidth,"Vertical adds more power to existing machines, horizontal adds more machines",Horizontal is typically better,"Vertical scales databases, horizontal scales applications",2,LENGTH: Correct answer is 2.0x longer than distractors
cloud-computing-4,What is AWS S3?,A configuration management system,An object storage service,A configuration management system,A networking service,2,"FORMAT: Distractors all start with 'A', correct doesn't"
cloud-computing-5,What is the purpose of an Availability Zone in cloud computing?,To provide different pricing tiers,Isolated locations within a region for fault tolerance,To separate development and production,To provide different service levels,2,"LENGTH: Correct answer is 1.5x longer than distractors | FORMAT: Distractors all start with 'To', correct doesn't"
cloud-computing-6,What is Azure Blob Storage equivalent to in AWS?,A container orchestration service,S3,A source control service,A configuration management system,2,"LENGTH: Correct answer is 0.1x shorter than distractors | FORMAT: Distractors all start with 'A', correct doesn't"
cloud-computing-7,What is the purpose of Cloud IAM?,Internet Access Management and extensions,Identity and Access Management - controlling who can access what,Infrastructure Asset Management,Integrated Application Management and extensions,2,LENGTH: Correct answer is 1.6x longer than distractors
cloud-computing-8,What is a cloud region?,Increasing network bandwidth,A geographic area containing data centers,A single data center,A virtual network segment,2,LENGTH: Correct answer is 1.7x longer than distractors
cloud-computing-9,What is the purpose of auto-scaling?,To automatically update software,To automatically adjust resources based on demand,To scale databases primarily,To reduce costs primarily,2,LENGTH: Correct answer is 1.7x longer than distractors
cloud-cost-drills-0,Biggest cost saving opportunity usually?,Right-sizing oversized instances,389,5432,Using latest instance types,1,LENGTH: Correct answer is 2.8x longer than distractors | OBVIOUS: 2 distractors seem unrelated to question
cloud-cost-drills-1,Reserved vs Spot vs On-Demand pricing?,1-3yr commitment vs Interruptible vs Full price,Increasing network bandwidth,Spot most expensive,Reserved has no commitment,1,LENGTH: Correct answer is 1.9x longer than distractors
cloud-cost-drills-2,Data transfer costs - what's free?,"Inbound usually free, same-AZ often free",A content delivery network,All transfers charged,A content delivery network,1,LENGTH: Correct answer is 1.6x longer than distractors | FORMAT: Only correct answer contains punctuation; Only correct answer contains technical notation
cloud-cost-drills-3,Cost allocation tags best practice?,"Environment, Owner, Project, CostCenter",No tags needed,A load balancing service,A database hosting solution,1,LENGTH: Correct answer is 1.8x longer than distractors | FORMAT: Only correct answer contains punctuation
cloud-cost-drills-4,Orphaned resources to check?,"Unattached EBS/disks, unused IPs, old snapshots, idle LBs",primarily compute instances,Resources rarely orphaned,Can't detect orphans,1,LENGTH: Correct answer is 2.4x longer than distractors | FORMAT: Only correct answer contains punctuation; Only correct answer contains technical notation
cloud-migration-drills-0,The 6 R's of migration?,"Rehost, Replatform, Refactor, Repurchase, Retire, Retain",primarily Rehost and Refactor,"Run, Remove, Replace",No standard approach,1,LENGTH: Correct answer is 2.4x longer than distractors
cloud-migration-drills-1,Lift and shift means?,Rehost - migrate as-is without changes,A load balancing service,A monitoring and logging service,A source control service,1,"FORMAT: Distractors all start with 'A', correct doesn't"
cloud-migration-drills-3,Migration pilot/POC should be?,Representative but non-critical workload,Most critical system,Simplest possible app,A database hosting solution,1,LENGTH: Correct answer is 1.8x longer than distractors
cloud-migration-drills-5,Cloud migration biggest challenges?,"Skills gap, security concerns, legacy dependencies",A database management platform,A CI/CD pipeline tool,Implementing caching layers,1,LENGTH: Correct answer is 1.9x longer than distractors | FORMAT: Only correct answer contains punctuation
cloud-security-drills-0,Shared responsibility model means?,"Cloud provider: OF the cloud, Customer: IN the cloud",Provider responsible for everything,Customer responsible for everything,A DNS spoofing attack,1,LENGTH: Correct answer is 1.7x longer than distractors | FORMAT: Only correct answer contains punctuation | SEMANTIC: Multiple distractors use absolute terms (often wrong)
cloud-security-drills-1,MFA for cloud accounts - minimum?,Root/admin accounts and all users with privileges,A content delivery network and extensions,A load balancing service,A virtual machine service,1,"LENGTH: Correct answer is 1.6x longer than distractors | FORMAT: Distractors all start with 'A', correct doesn't"
cloud-security-drills-3,Network security layers?,"Security Groups/Firewalls, NACLs, WAF, DDoS protection",primarily firewall needed,Physical security primarily,No network security in cloud,1,LENGTH: Correct answer is 2.0x longer than distractors | FORMAT: Only correct answer contains punctuation; Only correct answer contains technical notation
cloud-security-drills-6,Cloud access key rotation?,Every 90 days or per policy,A virtual machine service,A source control service,A message queue system,1,"FORMAT: Distractors all start with 'A', correct doesn't"
cluster-ops-drills-0,Safely drain node for maintenance?,kubectl drain <node> --ignore-daemonsets --delete-emptydir-data,kubectl stop node <node>,kubectl maintenance <node>,kubectl pause node <node>,1,LENGTH: Correct answer is 2.5x longer than distractors
cluster-ops-drills-1,Node NotReady. First checks?,Kubectl describe node <node> | grep -i condition && check kubelet logs,"TCP uses encryption, UDP does not",Delete node,25,1,LENGTH: Correct answer is 4.6x longer than distractors
cluster-ops-drills-4,Schedule pod on specific node?,nodeSelector in pod spec with node labels,nodeName: <node> in pod spec,Both A and B work,A network policy object,3,LENGTH: Correct answer is 0.6x shorter than distractors
cluster-ops-drills-5,Check cluster component health?,Kubectl get componentstatuses,Kubectl cluster-info,Kubectl get pods -n kube-system,All of the above,4,"LENGTH: Correct answer is 0.6x shorter than distractors | FORMAT: Distractors all start with 'Kubectl', correct doesn't | SEMANTIC: Correct answer appears more comprehensive/complete"
command-reference-drills-3,View Kiali dashboard for mesh visualization?,Kubectl port-forward svc/kiali 20001:20001 -n istio-system,Istioctl dashboard kiali,Both A and B work,Kiali --start,3,LENGTH: Correct answer is 0.5x shorter than distractors | SEMANTIC: Correct answer appears more comprehensive/complete
command-reference-drills-4,Quick way to test feature flag from CLI?,Not possible from CLI,Curl -H 'Authorization: <key>' unleash-server/api/client/features,Kubectl get featureflags,Ff test <flag>,2,LENGTH: Correct answer is 3.3x longer than distractors | FORMAT: Only correct answer contains punctuation
command-reference-drills-5,Inject Istio sidecar to existing deployment?,Kubectl label namespace <ns> istio-injection=enabled && kubectl rollout restart deployment/<name>,Istioctl inject deployment,Manual pod edit primarily,A documentation generator,1,LENGTH: Correct answer is 3.8x longer than distractors
